date,time,client_id,first_name,last_name,invoice_amount,payment_method
7/3/2019,3:58 PM,75397,Tiler,Beldom,77.51,iDeal
3/14/2020,3:53 PM,78730,Dorie,Batrick,42.71,PayPal
8/3/2019,6:36 AM,17665,Paulie,Gotling,144.79,PayPal
10/19/2019,9:52 PM,12492,Carmen,Denys,104.53,PayPal
9/18/2019,10:10 PM,81826,Heall,Heale,63.86,Mastercard
7/26/2019,3:16 AM,79367,Hagen,Awde,59.79,iDeal
5/5/2020,7:04 AM,58409,Caddric,Bowhey,134.79,PayPal
4/1/2020,10:35 AM,32745,Roman,Dearle,96.17,Visa
11/13/2019,7:45 AM,28967,Isaiah,McCabe,26.87,PayPal
6/24/2019,6:39 PM,80692,Edita,Brandom,151.08,PayPal
8/12/2019,2:44 PM,36746,Ynez,Bordessa,194.66,iDeal
3/21/2020,6:59 AM,50238,Malorie,Goold,130.38,PayPal
7/9/2019,9:32 PM,45930,Ethelind,Caldecourt,92.0,Mastercard
10/11/2019,6:10 AM,19912,Prince,Taudevin,56.84,PayPal
5/11/2019,3:38 AM,83504,Sherwin,Linsey,194.22,Visa
1/28/2020,7:50 AM,10857,Deanna,Robbings,126.0,Visa
11/12/2019,3:35 AM,39846,Janetta,Eaddy,38.74,Visa
3/25/2020,6:59 PM,57253,Tessie,Paulon,59.47,iDeal
7/13/2019,2:13 AM,61133,Marcella,Thridgould,97.72,Mastercard
5/21/2019,12:46 PM,94823,Chas,Karsh,67.71,PayPal
12/1/2019,10:26 PM,78041,Rea,De Anesy,180.71,iDeal
7/17/2019,1:59 AM,17409,Genna,Harg,173.31,PayPal
6/18/2019,5:18 PM,24742,Rustie,Skupinski,79.93,iDeal
7/22/2019,6:36 PM,31649,Olag,Leggin,97.14,Visa
2/27/2020,2:10 PM,15644,Randal,Fevers,55.69,Visa
12/31/2019,5:36 PM,65466,Myriam,Fredson,133.92,PayPal
5/21/2019,9:26 AM,43808,Charlean,Samwell,146.27,Mastercard
2/21/2020,12:29 AM,74796,Amalle,McQuirter,66.91,Mastercard
5/18/2019,11:06 PM,71163,Esteban,Guislin,114.99,iDeal
7/8/2019,2:45 AM,72968,Sheffie,Rissen,39.25,PayPal
5/24/2019,5:20 PM,42896,Maren,Lismer,188.73,iDeal
7/18/2019,9:26 AM,84268,Delphine,Ferry,55.11,PayPal
10/17/2019,4:08 AM,83557,Cyb,Jammet,168.35,PayPal
1/11/2020,12:04 PM,35589,Ingelbert,Stook,132.77,iDeal
5/17/2019,6:07 AM,12425,Tomasine,De Vries,71.53,Visa
4/1/2020,7:39 PM,97458,Yves,Cocker,24.97,PayPal
3/31/2020,6:15 PM,20854,Pincas,Scamaden,191.28,PayPal
8/8/2019,8:40 PM,40471,Brear,Juorio,144.81,Mastercard
8/24/2019,2:45 PM,90012,Eyde,Mussalli,187.64,Visa
8/17/2019,6:26 PM,11308,Emmett,Preshaw,25.28,Mastercard
8/30/2019,3:14 AM,55871,Roda,Heinle,155.08,iDeal
7/1/2019,11:55 AM,72676,Lynna,Accombe,1.57,iDeal
11/3/2019,11:30 PM,93277,Tybalt,Smitheram,6.4,iDeal
8/19/2019,2:51 PM,36086,Pepi,Shapero,136.87,Visa
